id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
mor029,medication_orders,med_category,benazepril_hctz,Benazepril Hctz,3.0,,active,,,,,UNMAPPED,
mor030,medication_orders,med_category,betamethasone,Betamethasone,3.0,,active,,,,,UNMAPPED,
mor031,medication_orders,med_category,bivalirudin,Bivalirudin,3.0,,active,,,,,UNMAPPED,
mor032,medication_orders,med_category,blinatumomab,Blinatumomab,3.0,,active,,,,,UNMAPPED,
mor033,medication_orders,med_category,brexucabtagene_autoleucel,Brexucabtagene Autoleucel,3.0,,active,,,,,UNMAPPED,
mor034,medication_orders,med_category,bumetanide,Bumetanide,3.0,,active,,,,,UNMAPPED,
mor035,medication_orders,med_category,bupivacaine,Bupivacaine,3.0,,active,,,,,UNMAPPED,
mor036,medication_orders,med_category,candesartan,Candesartan,3.0,,active,,,,,UNMAPPED,
mor037,medication_orders,med_category,candesartan_hctz,Candesartan Hctz,3.0,,active,,,,,UNMAPPED,
mor038,medication_orders,med_category,cangrelor,Cangrelor,3.0,,active,,,,,UNMAPPED,
mor039,medication_orders,med_category,captopril,Captopril,3.0,,active,,,,,UNMAPPED,
mor040,medication_orders,med_category,caspofungin,Caspofungin,3.0,,active,,,,,UNMAPPED,
mor041,medication_orders,med_category,cefaclor,Cefaclor,3.0,,active,,,,,UNMAPPED,
mor042,medication_orders,med_category,cefadroxil,Cefadroxil,3.0,,active,,,,,UNMAPPED,
mor043,medication_orders,med_category,cefamandole,Cefamandole,3.0,,active,,,,,UNMAPPED,
mor044,medication_orders,med_category,cefazolin,Cefazolin,3.0,,active,,,,,UNMAPPED,
mor045,medication_orders,med_category,cefdinir,Cefdinir,3.0,,active,,,,,UNMAPPED,
mor046,medication_orders,med_category,cefepime,Cefepime,3.0,,active,,,,,UNMAPPED,
mor047,medication_orders,med_category,cefiderocol,Cefiderocol,3.0,,active,,,,,UNMAPPED,
mor048,medication_orders,med_category,cefixime,Cefixime,3.0,,active,,,,,UNMAPPED,
mor049,medication_orders,med_category,cefmetazole,Cefmetazole,3.0,,active,,,,,UNMAPPED,
mor050,medication_orders,med_category,cefonicid,Cefonicid,3.0,,active,,,,,UNMAPPED,
mor051,medication_orders,med_category,cefoperazone,Cefoperazone,3.0,,active,,,,,UNMAPPED,
mor052,medication_orders,med_category,cefotaxime,Cefotaxime,3.0,,active,,,,,UNMAPPED,
mor053,medication_orders,med_category,cefotetan,Cefotetan,3.0,,active,,,,,UNMAPPED,
mor054,medication_orders,med_category,cefoxitin,Cefoxitin,3.0,,active,,,,,UNMAPPED,
mor055,medication_orders,med_category,cefpodoxime,Cefpodoxime,3.0,,active,,,,,UNMAPPED,
mor056,medication_orders,med_category,cefprozil,Cefprozil,3.0,,active,,,,,UNMAPPED,
mor057,medication_orders,med_category,ceftaroline,Ceftaroline,3.0,,active,,,,,UNMAPPED,
mor058,medication_orders,med_category,ceftazidime,Ceftazidime,3.0,,active,,,,,UNMAPPED,
mor059,medication_orders,med_category,ceftazidime_avibactam,Ceftazidime Avibactam,3.0,,active,,,,,UNMAPPED,
mor060,medication_orders,med_category,ceftazidime_clavulanate,Ceftazidime Clavulanate,3.0,,active,,,,,UNMAPPED,
mor061,medication_orders,med_category,ceftibuten,Ceftibuten,3.0,,active,,,,,UNMAPPED,
mor062,medication_orders,med_category,ceftizoxime,Ceftizoxime,3.0,,active,,,,,UNMAPPED,
mor063,medication_orders,med_category,ceftolozane_tazobactam,Ceftolozane Tazobactam,3.0,,active,,,,,UNMAPPED,
mor064,medication_orders,med_category,ceftriaxone,Ceftriaxone,3.0,,active,,,,,UNMAPPED,
mor065,medication_orders,med_category,cefuroxime,Cefuroxime,3.0,,active,,,,,UNMAPPED,
mor066,medication_orders,med_category,cephalexin,Cephalexin,3.0,,active,,,,,UNMAPPED,
mor067,medication_orders,med_category,cephalothin,Cephalothin,3.0,,active,,,,,UNMAPPED,
mor068,medication_orders,med_category,cephapirin,Cephapirin,3.0,,active,,,,,UNMAPPED,
mor069,medication_orders,med_category,cephradine,Cephradine,3.0,,active,,,,,UNMAPPED,
mor070,medication_orders,med_category,chloramphenicol,Chloramphenicol,3.0,,active,,,,,UNMAPPED,
mor071,medication_orders,med_category,cidofovir,Cidofovir,3.0,,active,,,,,UNMAPPED,
mor072,medication_orders,med_category,ciltacabtagene_autoleucel,Ciltacabtagene Autoleucel,3.0,,active,,,,,UNMAPPED,
mor073,medication_orders,med_category,cinoxacin,Cinoxacin,3.0,,active,,,,,UNMAPPED,
mor074,medication_orders,med_category,ciprofloxacin,Ciprofloxacin,3.0,,active,,,,,UNMAPPED,
mor075,medication_orders,med_category,cisatracurium,Cisatracurium,3.0,,active,,,,,UNMAPPED,
mor076,medication_orders,med_category,clarithromycin,Clarithromycin,3.0,,active,,,,,UNMAPPED,
mor077,medication_orders,med_category,clevidipine,Clevidipine,3.0,,active,,,,,UNMAPPED,
mor078,medication_orders,med_category,clindamycin,Clindamycin,3.0,,active,,,,,UNMAPPED,
