id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
mcl001,microbiology_culture,fluid_category,blood_buffy,blood_buffy,2.1;3.0,,active,,,,,UNMAPPED,
mcl002,microbiology_culture,fluid_category,bone_cortex,bone_cortex,2.1;3.0,,active,,,,,UNMAPPED,
mcl003,microbiology_culture,fluid_category,bone_marrow,bone_marrow,2.1;3.0,,active,,,,,UNMAPPED,
mcl004,microbiology_culture,fluid_category,brain,brain,2.1;3.0,,active,,,,,UNMAPPED,
mcl005,microbiology_culture,fluid_category,cardiac,cardiac,2.1;3.0,,active,,,,,UNMAPPED,
mcl006,microbiology_culture,fluid_category,catheter_tip,catheter_tip,2.1;3.0,,active,,,,,UNMAPPED,
mcl007,microbiology_culture,fluid_category,central_nervous_system,central_nervous_system,2.1;3.0,,active,,,,,UNMAPPED,
mcl008,microbiology_culture,fluid_category,ears,ears,2.1;3.0,,active,,,,,UNMAPPED,
mcl009,microbiology_culture,fluid_category,esophagus,esophagus,2.1;3.0,,active,,,,,UNMAPPED,
mcl010,microbiology_culture,fluid_category,eyes,eyes,2.1;3.0,,active,,,,,UNMAPPED,
mcl011,microbiology_culture,fluid_category,fallopians_uterus_cervix,fallopians_uterus_cervix,2.1;3.0,,active,,,,,UNMAPPED,
mcl012,microbiology_culture,fluid_category,feces_stool,feces_stool,2.1;3.0,,active,,,,,UNMAPPED,
mcl013,microbiology_culture,fluid_category,gallbladder_billary_pancreas,gallbladder_billary_pancreas,2.1;3.0,,active,,,,,UNMAPPED,
mcl014,microbiology_culture,fluid_category,gastrointestinal_tract,gastrointestinal_tract,2.1;3.0,,active,,,,,UNMAPPED,
mcl015,microbiology_culture,fluid_category,genital_area,genital_area,2.1;3.0,,active,,,,,UNMAPPED,
mcl016,microbiology_culture,fluid_category,genito_urinary_tract,genito_urinary_tract,2.1;3.0,,active,,,,,UNMAPPED,
mcl017,microbiology_culture,fluid_category,joints,joints,2.1;3.0,,active,,,,,UNMAPPED,
mcl018,microbiology_culture,fluid_category,kidneys_renal_pelvis_ureters_bladder,kidneys_renal_pelvis_ureters_bladder,2.1;3.0,,active,,,,,UNMAPPED,
mcl019,microbiology_culture,fluid_category,large_intestine,large_intestine,2.1;3.0,,active,,,,,UNMAPPED,
mcl020,microbiology_culture,fluid_category,larynx,larynx,2.1;3.0,,active,,,,,UNMAPPED,
mcl021,microbiology_culture,fluid_category,lips,lips,2.1;3.0,,active,,,,,UNMAPPED,
mcl022,microbiology_culture,fluid_category,liver,liver,2.1;3.0,,active,,,,,UNMAPPED,
mcl023,microbiology_culture,fluid_category,lymph_nodes,lymph_nodes,2.1;3.0,,active,,,,,UNMAPPED,
mcl024,microbiology_culture,fluid_category,meninges_csf,meninges_csf,2.1;3.0,,active,,,,,UNMAPPED,
mcl025,microbiology_culture,fluid_category,muscle,muscle,2.1;3.0,,active,,,,,UNMAPPED,
mcl026,microbiology_culture,fluid_category,nasopharynx_upperairway,nasopharynx_upperairway,2.1;3.0,,active,,,,,UNMAPPED,
mcl027,microbiology_culture,fluid_category,oropharynx_tongue_oralcavity,oropharynx_tongue_oralcavity,2.1;3.0,,active,,,,,UNMAPPED,
mcl028,microbiology_culture,fluid_category,other_unspecified,other_unspecified,2.1;3.0,,active,,,,,UNMAPPED,
mcl029,microbiology_culture,fluid_category,peritoneum,peritoneum,2.1;3.0,,active,,,,,UNMAPPED,
mcl030,microbiology_culture,fluid_category,pleural_cavity_fluid,pleural_cavity_fluid,2.1;3.0,,active,,,,,UNMAPPED,
mcl031,microbiology_culture,fluid_category,prostate,prostate,2.1;3.0,,active,,,,,UNMAPPED,
mcl032,microbiology_culture,fluid_category,respiratory_tract,respiratory_tract,2.1;3.0,,active,,,,,UNMAPPED,
mcl033,microbiology_culture,fluid_category,respiratory_tract_lower,respiratory_tract_lower,2.1;3.0,,active,,,,,UNMAPPED,
mcl034,microbiology_culture,fluid_category,sinuses,sinuses,2.1;3.0,,active,,,,,UNMAPPED,
mcl035,microbiology_culture,fluid_category,skin_disseminated_multiple_sites,skin_disseminated_multiple_sites,2.1;3.0,,active,,,,,UNMAPPED,
mcl036,microbiology_culture,fluid_category,skin_rash_pustules_abscesses,skin_rash_pustules_abscesses,2.1;3.0,,active,,,,,UNMAPPED,
mcl037,microbiology_culture,fluid_category,skin_unspecified,skin_unspecified,2.1;3.0,,active,,,,,UNMAPPED,
mcl038,microbiology_culture,fluid_category,small_intestine,small_intestine,2.1;3.0,,active,,,,,UNMAPPED,
mcl039,microbiology_culture,fluid_category,spinal_cord,spinal_cord,2.1;3.0,,active,,,,,UNMAPPED,
mcl040,microbiology_culture,fluid_category,spleen,spleen,2.1;3.0,,active,,,,,UNMAPPED,
mcl041,microbiology_culture,fluid_category,stomach,stomach,2.1;3.0,,active,,,,,UNMAPPED,
mcl042,microbiology_culture,fluid_category,testes,testes,2.1;3.0,,active,,,,,UNMAPPED,
mcl043,microbiology_culture,fluid_category,vagina,vagina,2.1;3.0,,active,,,,,UNMAPPED,
mcl044,microbiology_culture,fluid_category,woundsite,woundsite,2.1;3.0,,active,,,,,UNMAPPED,
mcl045,microbiology_culture,method_category,culture,culture,2.1;3.0,,active,,,,,UNMAPPED,
mcl046,microbiology_culture,method_category,gram_stain,gram_stain,2.1;3.0,,active,,,,,UNMAPPED,
mcl047,microbiology_culture,method_category,smear,smear,2.1;3.0,,active,,,,,UNMAPPED,
mcl048,microbiology_culture,organism_category,abiotrophia_defectiva,abiotrophia_defectiva,2.1;3.0,,active,,,,,UNMAPPED,
mcl049,microbiology_culture,organism_category,achromobacter_sp,achromobacter_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl050,microbiology_culture,organism_category,achromobacter_xylosoxidans,achromobacter_xylosoxidans,2.1;3.0,,active,,,,,UNMAPPED,
mcl051,microbiology_culture,organism_category,acidaminococcus_sp,acidaminococcus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl052,microbiology_culture,organism_category,acinetobacter_baumannii,acinetobacter_baumannii,2.1;3.0,,active,,,,,UNMAPPED,
mcl053,microbiology_culture,organism_category,acinetobacter_johnsonii,acinetobacter_johnsonii,2.1;3.0,,active,,,,,UNMAPPED,
mcl054,microbiology_culture,organism_category,acinetobacter_junii,acinetobacter_junii,2.1;3.0,,active,,,,,UNMAPPED,
mcl055,microbiology_culture,organism_category,acinetobacter_lwoffii,acinetobacter_lwoffii,2.1;3.0,,active,,,,,UNMAPPED,
mcl056,microbiology_culture,organism_category,acinetobacter_pittii,acinetobacter_pittii,2.1;3.0,,active,,,,,UNMAPPED,
mcl057,microbiology_culture,organism_category,acinetobacter_radioresistens,acinetobacter_radioresistens,2.1;3.0,,active,,,,,UNMAPPED,
mcl058,microbiology_culture,organism_category,acinetobacter_sp,acinetobacter_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl059,microbiology_culture,organism_category,acinetobacter_ursingii,acinetobacter_ursingii,2.1;3.0,,active,,,,,UNMAPPED,
mcl060,microbiology_culture,organism_category,acremonium_sp,acremonium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl061,microbiology_culture,organism_category,actinomyces_europaeus,actinomyces_europaeus,2.1;3.0,,active,,,,,UNMAPPED,
mcl062,microbiology_culture,organism_category,actinomyces_meyeri,actinomyces_meyeri,2.1;3.0,,active,,,,,UNMAPPED,
mcl063,microbiology_culture,organism_category,actinomyces_naeslundii,actinomyces_naeslundii,2.1;3.0,,active,,,,,UNMAPPED,
mcl064,microbiology_culture,organism_category,actinomyces_neuii,actinomyces_neuii,2.1;3.0,,active,,,,,UNMAPPED,
mcl065,microbiology_culture,organism_category,actinomyces_odontolyticus,actinomyces_odontolyticus,2.1;3.0,,active,,,,,UNMAPPED,
mcl066,microbiology_culture,organism_category,actinomyces_radingae,actinomyces_radingae,2.1;3.0,,active,,,,,UNMAPPED,
mcl067,microbiology_culture,organism_category,actinomyces_sp,actinomyces_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl068,microbiology_culture,organism_category,actinomyces_turicensis,actinomyces_turicensis,2.1;3.0,,active,,,,,UNMAPPED,
mcl069,microbiology_culture,organism_category,actinomyces_viscosus,actinomyces_viscosus,2.1;3.0,,active,,,,,UNMAPPED,
mcl070,microbiology_culture,organism_category,actinotignum_schaalii,actinotignum_schaalii,2.1;3.0,,active,,,,,UNMAPPED,
mcl071,microbiology_culture,organism_category,actinotignum_sp,actinotignum_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl072,microbiology_culture,organism_category,aerococcus_christensenii,aerococcus_christensenii,2.1;3.0,,active,,,,,UNMAPPED,
mcl073,microbiology_culture,organism_category,aerococcus_sanguinicola,aerococcus_sanguinicola,2.1;3.0,,active,,,,,UNMAPPED,
mcl074,microbiology_culture,organism_category,aerococcus_sp,aerococcus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl075,microbiology_culture,organism_category,aerococcus_urinae,aerococcus_urinae,2.1;3.0,,active,,,,,UNMAPPED,
mcl076,microbiology_culture,organism_category,aerococcus_viridans,aerococcus_viridans,2.1;3.0,,active,,,,,UNMAPPED,
mcl077,microbiology_culture,organism_category,aeromonas_caviae,aeromonas_caviae,2.1;3.0,,active,,,,,UNMAPPED,
mcl078,microbiology_culture,organism_category,aeromonas_hydrophila,aeromonas_hydrophila,2.1;3.0,,active,,,,,UNMAPPED,
mcl079,microbiology_culture,organism_category,aeromonas_sobria,aeromonas_sobria,2.1;3.0,,active,,,,,UNMAPPED,
mcl080,microbiology_culture,organism_category,aeromonas_sp,aeromonas_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl081,microbiology_culture,organism_category,aggregatibacter_actinomycetemcomitans,aggregatibacter_actinomycetemcomitans,2.1;3.0,,active,,,,,UNMAPPED,
mcl082,microbiology_culture,organism_category,aggregatibacter_aphrophilus,aggregatibacter_aphrophilus,2.1;3.0,,active,,,,,UNMAPPED,
mcl083,microbiology_culture,organism_category,aggregatibacter_segnis,aggregatibacter_segnis,2.1;3.0,,active,,,,,UNMAPPED,
mcl084,microbiology_culture,organism_category,agrobacterium_radiobacter,agrobacterium_radiobacter,2.1;3.0,,active,,,,,UNMAPPED,
mcl085,microbiology_culture,organism_category,alcaligenes_faecalis,alcaligenes_faecalis,2.1;3.0,,active,,,,,UNMAPPED,
mcl086,microbiology_culture,organism_category,alcaligenes_xylosoxidans,alcaligenes_xylosoxidans,2.1;3.0,,active,,,,,UNMAPPED,
mcl087,microbiology_culture,organism_category,alistipes_finegoldii,alistipes_finegoldii,2.1;3.0,,active,,,,,UNMAPPED,
mcl088,microbiology_culture,organism_category,alistipes_onderdonkii,alistipes_onderdonkii,2.1;3.0,,active,,,,,UNMAPPED,
mcl089,microbiology_culture,organism_category,alloiococcus_otitis,alloiococcus_otitis,2.1;3.0,,active,,,,,UNMAPPED,
mcl090,microbiology_culture,organism_category,alloiococcus_sp,alloiococcus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl091,microbiology_culture,organism_category,alternaria_alternata,alternaria_alternata,2.1;3.0,,active,,,,,UNMAPPED,
mcl092,microbiology_culture,organism_category,alternaria_sp,alternaria_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl093,microbiology_culture,organism_category,anaerobic_sp,anaerobic_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl094,microbiology_culture,organism_category,anaerococcus_sp,anaerococcus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl095,microbiology_culture,organism_category,arcanobacterium_haemolyticum,arcanobacterium_haemolyticum,2.1;3.0,,active,,,,,UNMAPPED,
mcl096,microbiology_culture,organism_category,arthrobacter_cumminsii,arthrobacter_cumminsii,2.1;3.0,,active,,,,,UNMAPPED,
mcl097,microbiology_culture,organism_category,arthrobacter_sp,arthrobacter_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl098,microbiology_culture,organism_category,arthrographis_sp,arthrographis_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl099,microbiology_culture,organism_category,aspergillus_flavus,aspergillus_flavus,2.1;3.0,,active,,,,,UNMAPPED,
mcl100,microbiology_culture,organism_category,aspergillus_fumigatus,aspergillus_fumigatus,2.1;3.0,,active,,,,,UNMAPPED,
mcl101,microbiology_culture,organism_category,aspergillus_nidulans,aspergillus_nidulans,2.1;3.0,,active,,,,,UNMAPPED,
mcl102,microbiology_culture,organism_category,aspergillus_niger,aspergillus_niger,2.1;3.0,,active,,,,,UNMAPPED,
mcl103,microbiology_culture,organism_category,aspergillus_ochraceus,aspergillus_ochraceus,2.1;3.0,,active,,,,,UNMAPPED,
mcl104,microbiology_culture,organism_category,aspergillus_sp,aspergillus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl105,microbiology_culture,organism_category,aspergillus_sydowii,aspergillus_sydowii,2.1;3.0,,active,,,,,UNMAPPED,
mcl106,microbiology_culture,organism_category,aspergillus_terreus,aspergillus_terreus,2.1;3.0,,active,,,,,UNMAPPED,
mcl107,microbiology_culture,organism_category,aspergillus_versicolor,aspergillus_versicolor,2.1;3.0,,active,,,,,UNMAPPED,
mcl108,microbiology_culture,organism_category,atopobium_parvulum,atopobium_parvulum,2.1;3.0,,active,,,,,UNMAPPED,
mcl109,microbiology_culture,organism_category,atopobium_sp,atopobium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl110,microbiology_culture,organism_category,atopobium_vaginae,atopobium_vaginae,2.1;3.0,,active,,,,,UNMAPPED,
mcl111,microbiology_culture,organism_category,aureobasidium_sp,aureobasidium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl112,microbiology_culture,organism_category,bacillus_cereus,bacillus_cereus,2.1;3.0,,active,,,,,UNMAPPED,
mcl113,microbiology_culture,organism_category,bacillus_licheniformis,bacillus_licheniformis,2.1;3.0,,active,,,,,UNMAPPED,
mcl114,microbiology_culture,organism_category,bacillus_megaterium,bacillus_megaterium,2.1;3.0,,active,,,,,UNMAPPED,
mcl115,microbiology_culture,organism_category,bacillus_simplex,bacillus_simplex,2.1;3.0,,active,,,,,UNMAPPED,
mcl116,microbiology_culture,organism_category,bacillus_sp,bacillus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl117,microbiology_culture,organism_category,bacillus_subtilis,bacillus_subtilis,2.1;3.0,,active,,,,,UNMAPPED,
mcl118,microbiology_culture,organism_category,bacteria_other,bacteria_other,2.1;3.0,,active,,,,,UNMAPPED,
mcl119,microbiology_culture,organism_category,bacteroides_caccae,bacteroides_caccae,2.1;3.0,,active,,,,,UNMAPPED,
mcl120,microbiology_culture,organism_category,bacteroides_capillosus,bacteroides_capillosus,2.1;3.0,,active,,,,,UNMAPPED,
mcl121,microbiology_culture,organism_category,bacteroides_eggerthii,bacteroides_eggerthii,2.1;3.0,,active,,,,,UNMAPPED,
mcl122,microbiology_culture,organism_category,bacteroides_faecis,bacteroides_faecis,2.1;3.0,,active,,,,,UNMAPPED,
mcl123,microbiology_culture,organism_category,bacteroides_fragilis,bacteroides_fragilis,2.1;3.0,,active,,,,,UNMAPPED,
mcl124,microbiology_culture,organism_category,bacteroides_ovatus,bacteroides_ovatus,2.1;3.0,,active,,,,,UNMAPPED,
mcl125,microbiology_culture,organism_category,bacteroides_pyogenes,bacteroides_pyogenes,2.1;3.0,,active,,,,,UNMAPPED,
mcl126,microbiology_culture,organism_category,bacteroides_sp,bacteroides_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl127,microbiology_culture,organism_category,bacteroides_stercoris,bacteroides_stercoris,2.1;3.0,,active,,,,,UNMAPPED,
mcl128,microbiology_culture,organism_category,bacteroides_thetaiotaomicron,bacteroides_thetaiotaomicron,2.1;3.0,,active,,,,,UNMAPPED,
mcl129,microbiology_culture,organism_category,bacteroides_uniformis,bacteroides_uniformis,2.1;3.0,,active,,,,,UNMAPPED,
mcl130,microbiology_culture,organism_category,bacteroides_vulgatus,bacteroides_vulgatus,2.1;3.0,,active,,,,,UNMAPPED,
mcl131,microbiology_culture,organism_category,bacteroides_xylanisolvens,bacteroides_xylanisolvens,2.1;3.0,,active,,,,,UNMAPPED,
mcl132,microbiology_culture,organism_category,bifidobacterium_sp,bifidobacterium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl133,microbiology_culture,organism_category,bilophila_wadsworthia,bilophila_wadsworthia,2.1;3.0,,active,,,,,UNMAPPED,
mcl134,microbiology_culture,organism_category,blastomyces_dermatitidis,blastomyces_dermatitidis,2.1;3.0,,active,,,,,UNMAPPED,
mcl135,microbiology_culture,organism_category,blastomyces_sp,blastomyces_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl136,microbiology_culture,organism_category,bordetella_bronchiseptica,bordetella_bronchiseptica,2.1;3.0,,active,,,,,UNMAPPED,
mcl137,microbiology_culture,organism_category,bordetella_hinzii,bordetella_hinzii,2.1;3.0,,active,,,,,UNMAPPED,
mcl138,microbiology_culture,organism_category,bordetella_sp,bordetella_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl139,microbiology_culture,organism_category,bordetella_trematum,bordetella_trematum,2.1;3.0,,active,,,,,UNMAPPED,
mcl140,microbiology_culture,organism_category,brevibacillus_sp,brevibacillus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl141,microbiology_culture,organism_category,brevibacterium_casei,brevibacterium_casei,2.1;3.0,,active,,,,,UNMAPPED,
mcl142,microbiology_culture,organism_category,brevibacterium_luteolum,brevibacterium_luteolum,2.1;3.0,,active,,,,,UNMAPPED,
mcl143,microbiology_culture,organism_category,brevibacterium_sp,brevibacterium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl144,microbiology_culture,organism_category,brevundimonas_diminuta,brevundimonas_diminuta,2.1;3.0,,active,,,,,UNMAPPED,
mcl145,microbiology_culture,organism_category,brevundimonas_sp,brevundimonas_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl146,microbiology_culture,organism_category,brevundimonas_vesicularis,brevundimonas_vesicularis,2.1;3.0,,active,,,,,UNMAPPED,
mcl147,microbiology_culture,organism_category,brucella_intermedia,brucella_intermedia,2.1;3.0,,active,,,,,UNMAPPED,
mcl148,microbiology_culture,organism_category,burkholderia_cepacia,burkholderia_cepacia,2.1;3.0,,active,,,,,UNMAPPED,
mcl149,microbiology_culture,organism_category,burkholderia_gladioli,burkholderia_gladioli,2.1;3.0,,active,,,,,UNMAPPED,
mcl150,microbiology_culture,organism_category,burkholderia_sp,burkholderia_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl151,microbiology_culture,organism_category,campylobacter_coli,campylobacter_coli,2.1;3.0,,active,,,,,UNMAPPED,
mcl152,microbiology_culture,organism_category,campylobacter_jejuni,campylobacter_jejuni,2.1;3.0,,active,,,,,UNMAPPED,
mcl153,microbiology_culture,organism_category,campylobacter_sp,campylobacter_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl154,microbiology_culture,organism_category,campylobacter_ureolyticus,campylobacter_ureolyticus,2.1;3.0,,active,,,,,UNMAPPED,
mcl155,microbiology_culture,organism_category,candida_albicans,candida_albicans,2.1;3.0,,active,,,,,UNMAPPED,
mcl156,microbiology_culture,organism_category,candida_auris,candida_auris,2.1;3.0,,active,,,,,UNMAPPED,
mcl157,microbiology_culture,organism_category,candida_colliculosa,candida_colliculosa,2.1;3.0,,active,,,,,UNMAPPED,
mcl158,microbiology_culture,organism_category,candida_dubliniensis,candida_dubliniensis,2.1;3.0,,active,,,,,UNMAPPED,
mcl159,microbiology_culture,organism_category,candida_famata,candida_famata,2.1;3.0,,active,,,,,UNMAPPED,
mcl160,microbiology_culture,organism_category,candida_fermentati,candida_fermentati,2.1;3.0,,active,,,,,UNMAPPED,
mcl161,microbiology_culture,organism_category,candida_glabrata,candida_glabrata,2.1;3.0,,active,,,,,UNMAPPED,
mcl162,microbiology_culture,organism_category,candida_guilliermondii,candida_guilliermondii,2.1;3.0,,active,,,,,UNMAPPED,
mcl163,microbiology_culture,organism_category,candida_haemulonii,candida_haemulonii,2.1;3.0,,active,,,,,UNMAPPED,
mcl164,microbiology_culture,organism_category,candida_intermedia,candida_intermedia,2.1;3.0,,active,,,,,UNMAPPED,
mcl165,microbiology_culture,organism_category,candida_kefyr,candida_kefyr,2.1;3.0,,active,,,,,UNMAPPED,
mcl166,microbiology_culture,organism_category,candida_krusei,candida_krusei,2.1;3.0,,active,,,,,UNMAPPED,
mcl167,microbiology_culture,organism_category,candida_lambica,candida_lambica,2.1;3.0,,active,,,,,UNMAPPED,
mcl168,microbiology_culture,organism_category,candida_lipolytica,candida_lipolytica,2.1;3.0,,active,,,,,UNMAPPED,
mcl169,microbiology_culture,organism_category,candida_lusitaniae,candida_lusitaniae,2.1;3.0,,active,,,,,UNMAPPED,
mcl170,microbiology_culture,organism_category,candida_nivariensis,candida_nivariensis,2.1;3.0,,active,,,,,UNMAPPED,
mcl171,microbiology_culture,organism_category,candida_orthopsilosis,candida_orthopsilosis,2.1;3.0,,active,,,,,UNMAPPED,
mcl172,microbiology_culture,organism_category,candida_parapsilosis,candida_parapsilosis,2.1;3.0,,active,,,,,UNMAPPED,
mcl173,microbiology_culture,organism_category,candida_pararugosa,candida_pararugosa,2.1;3.0,,active,,,,,UNMAPPED,
mcl174,microbiology_culture,organism_category,candida_pelliculosa,candida_pelliculosa,2.1;3.0,,active,,,,,UNMAPPED,
mcl175,microbiology_culture,organism_category,candida_pulcherrima,candida_pulcherrima,2.1;3.0,,active,,,,,UNMAPPED,
mcl176,microbiology_culture,organism_category,candida_rugosa,candida_rugosa,2.1;3.0,,active,,,,,UNMAPPED,
mcl177,microbiology_culture,organism_category,candida_sp,candida_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl178,microbiology_culture,organism_category,candida_tropicalis,candida_tropicalis,2.1;3.0,,active,,,,,UNMAPPED,
mcl179,microbiology_culture,organism_category,candida_utilis,candida_utilis,2.1;3.0,,active,,,,,UNMAPPED,
mcl180,microbiology_culture,organism_category,capnocytophaga_gingivalis,capnocytophaga_gingivalis,2.1;3.0,,active,,,,,UNMAPPED,
mcl181,microbiology_culture,organism_category,capnocytophaga_sp,capnocytophaga_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl182,microbiology_culture,organism_category,cardiobacterium_hominis,cardiobacterium_hominis,2.1;3.0,,active,,,,,UNMAPPED,
mcl183,microbiology_culture,organism_category,cardiobacterium_sp,cardiobacterium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl184,microbiology_culture,organism_category,cellulosimicrobium_cellulans,cellulosimicrobium_cellulans,2.1;3.0,,active,,,,,UNMAPPED,
mcl185,microbiology_culture,organism_category,chaetomium_sp,chaetomium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl186,microbiology_culture,organism_category,chryseobacterium_indologenes,chryseobacterium_indologenes,2.1;3.0,,active,,,,,UNMAPPED,
mcl187,microbiology_culture,organism_category,chryseobacterium_sp,chryseobacterium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl188,microbiology_culture,organism_category,citrobacter_amalonaticus,citrobacter_amalonaticus,2.1;3.0,,active,,,,,UNMAPPED,
mcl189,microbiology_culture,organism_category,citrobacter_farmeri,citrobacter_farmeri,2.1;3.0,,active,,,,,UNMAPPED,
mcl190,microbiology_culture,organism_category,citrobacter_freundii,citrobacter_freundii,2.1;3.0,,active,,,,,UNMAPPED,
mcl191,microbiology_culture,organism_category,citrobacter_koseri,citrobacter_koseri,2.1;3.0,,active,,,,,UNMAPPED,
mcl192,microbiology_culture,organism_category,citrobacter_sp,citrobacter_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl193,microbiology_culture,organism_category,cladosporium_sp,cladosporium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl194,microbiology_culture,organism_category,clostridioides_difficile,clostridioides_difficile,2.1;3.0,,active,,,,,UNMAPPED,
mcl195,microbiology_culture,organism_category,clostridium_bifermentans,clostridium_bifermentans,2.1;3.0,,active,,,,,UNMAPPED,
mcl196,microbiology_culture,organism_category,clostridium_butyricum,clostridium_butyricum,2.1;3.0,,active,,,,,UNMAPPED,
mcl197,microbiology_culture,organism_category,clostridium_cadaveris,clostridium_cadaveris,2.1;3.0,,active,,,,,UNMAPPED,
mcl198,microbiology_culture,organism_category,clostridium_clostridioforme,clostridium_clostridioforme,2.1;3.0,,active,,,,,UNMAPPED,
mcl199,microbiology_culture,organism_category,clostridium_innocuum,clostridium_innocuum,2.1;3.0,,active,,,,,UNMAPPED,
mcl200,microbiology_culture,organism_category,clostridium_paraputrificum,clostridium_paraputrificum,2.1;3.0,,active,,,,,UNMAPPED,
mcl201,microbiology_culture,organism_category,clostridium_perfringens,clostridium_perfringens,2.1;3.0,,active,,,,,UNMAPPED,
mcl202,microbiology_culture,organism_category,clostridium_ramosum,clostridium_ramosum,2.1;3.0,,active,,,,,UNMAPPED,
mcl203,microbiology_culture,organism_category,clostridium_septicum,clostridium_septicum,2.1;3.0,,active,,,,,UNMAPPED,
mcl204,microbiology_culture,organism_category,clostridium_sordellii,clostridium_sordellii,2.1;3.0,,active,,,,,UNMAPPED,
mcl205,microbiology_culture,organism_category,clostridium_sp,clostridium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl206,microbiology_culture,organism_category,clostridium_sporogenes,clostridium_sporogenes,2.1;3.0,,active,,,,,UNMAPPED,
mcl207,microbiology_culture,organism_category,clostridium_tertium,clostridium_tertium,2.1;3.0,,active,,,,,UNMAPPED,
mcl208,microbiology_culture,organism_category,cokeromyces_recurvatus,cokeromyces_recurvatus,2.1;3.0,,active,,,,,UNMAPPED,
mcl209,microbiology_culture,organism_category,collinsella_aerofaciens,collinsella_aerofaciens,2.1;3.0,,active,,,,,UNMAPPED,
mcl210,microbiology_culture,organism_category,comamonas_testosteroni,comamonas_testosteroni,2.1;3.0,,active,,,,,UNMAPPED,
mcl211,microbiology_culture,organism_category,corynebacterium_accolens,corynebacterium_accolens,2.1;3.0,,active,,,,,UNMAPPED,
mcl212,microbiology_culture,organism_category,corynebacterium_afermentans,corynebacterium_afermentans,2.1;3.0,,active,,,,,UNMAPPED,
mcl213,microbiology_culture,organism_category,corynebacterium_amycolatum,corynebacterium_amycolatum,2.1;3.0,,active,,,,,UNMAPPED,
mcl214,microbiology_culture,organism_category,corynebacterium_aurimucosum,corynebacterium_aurimucosum,2.1;3.0,,active,,,,,UNMAPPED,
mcl215,microbiology_culture,organism_category,corynebacterium_bovis,corynebacterium_bovis,2.1;3.0,,active,,,,,UNMAPPED,
mcl216,microbiology_culture,organism_category,corynebacterium_coyleae,corynebacterium_coyleae,2.1;3.0,,active,,,,,UNMAPPED,
mcl217,microbiology_culture,organism_category,corynebacterium_diptheriae,corynebacterium_diptheriae,2.1;3.0,,active,,,,,UNMAPPED,
mcl218,microbiology_culture,organism_category,corynebacterium_durum,corynebacterium_durum,2.1;3.0,,active,,,,,UNMAPPED,
